iter	Passed	Remaining
167	16585	42648
168	16689	42563
169	16790	42469
170	16898	42393
171	17002	42309
172	17106	42221
173	17208	42130
174	17294	42000
175	17386	41886
176	17486	41788
177	17567	41648
178	17680	41582
179	17774	41473
180	17882	41395
181	17985	41307
182	18046	41123
183	18150	41036
184	18199	40825
185	18265	40654
186	18357	40543
187	18449	40431
188	18514	40262
189	18620	40180
190	18710	40066
191	18808	39969
192	18914	39887
193	19006	39777
194	19100	39670
195	19196	39569
196	19297	39476
197	19401	39390
198	19502	39298
199	19597	39194
200	19687	39081
201	19795	39002
202	19889	38897
203	19984	38792
204	20070	38671
205	20179	38596
206	20283	38509
207	20382	38413
208	20489	38332
209	20584	38228
210	20687	38138
211	20797	38062
212	20896	37966
213	21036	37944
214	21101	37786
215	21196	37682
216	21301	37596
217	21393	37488
218	21501	37407
219	21598	37306
220	21644	37118
221	21750	37033
222	21845	36930
223	21950	36845
224	22060	36766
225	22166	36681
226	22231	36530
227	22288	36365
228	22395	36282
229	22504	36203
230	22568	36051
231	22616	35874
232	22723	35792
233	22807	35674
234	22920	35599
235	23017	35502
236	23077	35347
237	23170	35243
238	23278	35161
239	23383	35075
240	23468	34958
241	23572	34871
242	23679	34787
243	23785	34702
244	23893	34621
245	23988	34520
246	24099	34442
247	24192	34337
248	24283	34231
249	24375	34126
250	24486	34046
251	24592	33960
252	24702	33880
253	24811	33798
254	24921	33717
255	25029	33633
256	25126	33534
257	25232	33447
258	25330	33350
259	25424	33247
260	25522	33149
261	25616	33046
262	25713	32948
263	25806	32844
264	25917	32763
265	26024	32677
266	26135	32595
267	26227	32491
268	26336	32406
269	26437	32311
270	26546	32227
271	26652	32139
272	26755	32048
273	26849	31945
274	26937	31835
275	27030	31731
276	27136	31642
277	27240	31552
278	27343	31459
279	27447	31369
280	27536	31260
281	27639	31168
282	27745	31078
283	27846	30984
284	27941	30882
285	28051	30797
286	28142	30691
287	28249	30603
288	28355	30513
289	28457	30420
290	28566	30333
291	28639	30208
292	28733	30106
293	28840	30017
294	28945	29927
295	29049	29834
296	29161	29750
297	29269	29662
298	29373	29569
299	29472	29472
300	29574	29378
301	29671	29278
302	29774	29185
303	29863	29077
304	29955	28973
305	30043	28864
306	30158	28783
307	30260	28688
308	30361	28592
309	30465	28500
310	30560	28398
311	30651	28293
312	30748	28194
313	30850	28099
314	30967	28018
315	31067	27921
316	31175	27831
317	31280	27739
318	31374	27637
319	31463	27530
320	31571	27440
321	31660	27334
322	31753	27230
323	31851	27132
324	31945	27030
325	32040	26929
326	32142	26834
327	32247	26741
328	32353	26650
329	32452	26552
330	32560	26461
331	32651	26357
332	32741	26252
333	32844	26157
334	32951	26065
335	33054	25971
336	33145	25867
337	33234	25762
338	33328	25660
339	33434	25567
340	33541	25476
341	33638	25376
342	33746	25285
343	33852	25192
344	33961	25102
345	34068	25009
346	34176	24918
347	34264	24812
348	34356	24709
349	34458	24612
350	34561	24518
351	34660	24420
352	34770	24329
353	34871	24232
354	34981	24142
355	35068	24035
356	35177	23944
357	35285	23852
358	35386	23755
359	35485	23657
360	35594	23565
361	35697	23469
362	35796	23371
363	35902	23277
364	35995	23175
365	36095	23077
366	36194	22978
367	36300	22885
368	36409	22793
369	36503	22691
370	36596	22589
371	36695	22490
372	36801	22396
373	36893	22294
374	37002	22201
375	37107	22106
376	37204	22007
377	37307	21910
378	37403	21810
379	37515	21719
380	37623	21626
381	37728	21530
382	37834	21436
383	37928	21334
384	38028	21236
385	38132	21141
386	38242	21048
387	38332	20944
388	38432	20846
389	38525	20744
390	38627	20647
391	38718	20544
392	38809	20441
393	38908	20342
394	39011	20246
395	39115	20150
396	39218	20053
397	39321	19956
398	39431	19863
399	39533	19766
400	39652	19677
401	39739	19573
402	39834	19472
403	39931	19372
404	40028	19273
405	40125	19173
406	40234	19079
407	40329	18978
408	40423	18877
409	40515	18775
410	40614	18676
411	40710	18576
412	40816	18480
413	40913	18381
414	41010	18281
415	41115	18185
416	41217	18088
417	41310	17986
418	41420	17893
419	41519	17793
420	41626	17698
421	41729	17601
422	41831	17503
423	41923	17402
424	42038	17310
425	42131	17208
426	42235	17111
427	42327	17009
428	42432	16913
429	42533	16815
430	42628	16715
431	42730	16617
432	42833	16520
433	42937	16423
434	43040	16325
435	43141	16227
436	43233	16126
437	43325	16024
438	43417	15922
439	43505	15820
440	43610	15723
441	43701	15621
442	43806	15525
443	43909	15427
444	43996	15324
445	44100	15227
446	44209	15132
447	44295	15028
448	44400	14931
449	44499	14833
450	44606	14736
451	44697	14635
452	44797	14536
453	44900	14439
454	44995	14339
455	45097	14241
456	45200	14143
457	45306	14046
458	45409	13949
459	45507	13849
460	45615	13753
461	45707	13652
462	45805	13553
463	45902	13454
464	46023	13361
465	46115	13260
466	46210	13160
467	46305	13060
468	46415	12964
469	46517	12866
470	46614	12767
471	46705	12666
472	46800	12565
473	46895	12465
474	47003	12369
475	47092	12267
476	47199	12170
477	47297	12071
478	47399	11973
479	47502	11875
480	47604	11777
481	47704	11678
482	47808	11581
483	47903	11481
484	48013	11384
485	48111	11285
486	48214	11187
487	48303	11086
488	48410	10988
489	48513	10890
490	48602	10789
491	48706	10691
492	48812	10594
493	48917	10496
494	49020	10398
495	49121	10299
496	49231	10202
497	49330	10103
498	49427	10004
499	49515	9903
500	49619	9805
501	49712	9704
502	49807	9604
503	49908	9506
504	50019	9409
505	50123	9311
506	50216	9211
507	50314	9112
508	50420	9014
509	50522	8915
510	50628	8817
511	50721	8717
512	50819	8618
513	50925	8520
514	51018	8420
515	51109	8320
516	51211	8221
517	51314	8123
518	51410	8023
519	51502	7923
520	51603	7824
521	51694	7724
522	51804	7627
523	51894	7526
524	51991	7427
525	52095	7328
526	52205	7231
527	52306	7132
528	52414	7034
529	52511	6935
530	52619	6837
531	52713	6737
532	52804	6637
533	52899	6538
534	53005	6439
535	53108	6341
536	53214	6243
537	53316	6144
538	53420	6045
539	53527	5947
540	53631	5848
541	53726	5749
542	53823	5649
543	53918	5550
544	54004	5449
545	54112	5351
546	54215	5253
547	54317	5154
548	54427	5056
549	54529	4957
550	54622	4857
551	54726	4758
552	54827	4659
553	54930	4561
554	55034	4462
555	55134	4363
556	55243	4264
557	55339	4165
558	55447	4066
559	55531	3966
560	55626	3867
561	55729	3768
562	55828	3669
563	55925	3569
564	56031	3470
565	56116	3370
566	56206	3271
567	56300	3171
568	56412	3073
569	56520	2974
570	56628	2876
571	56730	2777
572	56822	2677
573	56918	2578
574	57027	2479
575	57119	2379
576	57220	2280
577	57325	2181
578	57426	2082
579	57525	1983
580	57632	1884
581	57729	1785
582	57825	1686
583	57910	1586
584	58017	1487
585	58112	1388
586	58209	1289
587	58312	1190
588	58423	1091
589	58526	991
590	58623	892
591	58724	793
592	58820	694
593	58923	595
594	59026	496
595	59126	396
596	59228	297
597	59335	198
598	59438	99
599	59540	0
